Date,Open,High,Low,Close
2011-07-08,19084.06,19131.7,18817.71,18858.04
2011-07-07,18776.62,19097.78,18767.25,19078.3
2011-07-06,18730.29,18823.45,18682.6,18726.97
2011-07-05,18837.88,18837.88,18694.05,18744.56
2011-07-04,18896.24,18942.42,18781.88,18814.48
2011-07-01,18974.96,19031.38,18713.07,18762.8
2011-06-30,18741.1,18873.39,18723.14,18845.87
2011-06-29,18552.19,18715.39,18552.19,18693.86
2011-06-28,18493.59,18527.45,18323.44,18492.45
2011-06-27,18132.7,18494.11,18132.7,18412.41
2011-06-24,17804.94,18268.95,17804.94,18240.68
2011-06-23,17526.92,17754.55,17482.21,17727.49
2011-06-22,17659.37,17678.86,17492.19,17550.63
2011-06-21,17574.37,17714.88,17504.27,17560.3
2011-06-20,17925.17,17925.17,17314.38,17506.63
2011-06-17,18060.17,18064.76,17844.09,17870.53
2011-06-16,18060.11,18155.1,17958.94,17985.88
2011-06-15,18298.59,18308.69,18111.21,18132.24
2011-06-14,18276.78,18380.19,18261.11,18308.66
2011-06-13,18242.25,18313.21,18120.76,18266.03
2011-06-10,18390.41,18399.02,18182.9,18268.54
2011-06-09,18394.57,18449.64,18327.01,18384.9
2011-06-08,18448.4,18505.1,18365.94,18394.29
2011-06-07,18355.3,18545.95,18351.24,18495.62
2011-06-06,18344.27,18458.63,18258.42,18420.11
2011-06-03,18554.4,18672.65,18345.85,18376.48
2011-06-02,18425.85,18540.67,18390.57,18494.18
2011-06-01,18527.12,18636.12,18514.66,18608.81
2011-05-31,18266.61,18526.8,18266.61,18503.28
2011-05-30,18319.74,18380.17,18199.52,18232.06
2011-05-27,18105.61,18298.64,18087.16,18266.1
2011-05-26,17917.11,18072.61,17862.88,18044.64
2011-05-25,17976.36,17976.36,17786.13,17847.24
2011-05-24,18016.43,18110.39,17933.94,18011.97
2011-05-23,18269.06,18269.06,17971.02,17993.33
2011-05-20,18199.96,18429.47,18161.38,18326.09
2011-05-19,18166.64,18198.45,18057.82,18141.4
2011-05-18,18177.32,18218.2,18020.79,18086.2
2011-05-17,18374.45,18435.8,18084.67,18137.35
2011-05-16,18492.68,18492.68,18319.88,18345.03
2011-05-13,18362.45,18724.54,18280.7,18531.28
2011-05-12,18525.32,18610.02,18314.34,18335.79
2011-05-11,18572.61,18622.44,18454.93,18584.96
2011-05-10,18564.95,18689.37,18429.06,18512.77
2011-05-09,18628.63,18643.58,18367.21,18528.96
2011-05-06,18289.78,18568.48,18271.68,18518.81
2011-05-05,18484.71,18569.21,18160.65,18210.58
2011-05-04,18558.33,18604.36,18339.53,18469.36
2011-05-03,18979.31,19024.95,18502.42,18534.69
2011-05-02,19224.05,19253.87,18954.76,18998.02
2011-04-29,19292.57,19356.5,19015.05,19135.96
2011-04-28,19532.85,19542.05,19265.92,19292.02
2011-04-27,19610.71,19633.63,19412.79,19448.69
2011-04-26,19596.32,19626.13,19306.92,19545.35
2011-04-25,19538.52,19697.49,19531.34,19584.31
2011-04-21,19582.5,19695.98,19530.5,19602.23
2011-04-20,19274.21,19484.77,19171.03,19470.98
2011-04-19,19091.78,19201.92,18976.19,19121.83
2011-04-18,19389.74,19649.22,19071.47,19091.17
2011-04-15,19670.07,19700.96,19337.12,19386.82
2011-04-13,19187.01,19737.33,19101.63,19696.86
2011-04-11,19382.91,19426.3,19242.59,19262.54
2011-04-08,19602.81,19697.21,19388.42,19451.45
2011-04-07,19620.88,19665.09,19537.02,19591.18
2011-04-06,19698.61,19811.14,19550.55,19612.2
2011-04-05,19731.38,19770.21,19523.54,19686.82
2011-04-04,19473.93,19729.6,19449.36,19701.73
2011-04-01,19463.11,19562.55,19382.35,19420.39
2011-03-31,19339.75,19575.16,19284.35,19445.22
2011-03-30,19178.77,19357.1,19178.77,19290.18
2011-03-29,18949.57,19226.21,18944.82,19120.8
2011-03-28,18799.71,19024.18,18799.57,18943.14
2011-03-25,18480.69,18858.3,18480.69,18815.64
2011-03-24,18286.42,18373.97,18269.32,18350.74
2011-03-23,17972.04,18218.28,17950.17,18206.16
2011-03-22,17929.09,18041.38,17878.8,17988.3
2011-03-21,17984.72,18007.73,17792.17,17839.05
2011-03-18,18251.18,18259.61,17849.53,17878.81
2011-03-17,18227.16,18354.27,18104.02,18149.87
2011-03-16,18263.68,18444.47,18263.68,18358.69
2011-03-15,18113.79,18326.33,17920.55,18167.64
2011-03-14,18167.1,18463.84,18155.43,18439.48
2011-03-11,18248.11,18368.43,18063.29,18174.09
2011-03-10,18430.84,18430.84,18261.26,18327.98
2011-03-09,18522.8,18583.3,18303.8,18469.95
2011-03-08,18277.34,18466.81,18266.62,18439.65
2011-03-07,18361.65,18361.65,18058.71,18222.67
2011-03-04,18622.7,18736.97,18448.69,18486.45
2011-03-03,18318.32,18603.57,18253.62,18489.76
2011-03-01,17982.28,18478.68,17964.39,18446.5
2011-02-28,17811.08,18296.53,17718.88,17823.4
2011-02-25,17775.08,17812.44,17469.97,17700.91
2011-02-24,18135.12,18135.12,17559.7,17632.41
2011-02-23,18233.77,18377.48,18150.01,18178.33
2011-02-22,18390.72,18457.9,18187.33,18296.16
2011-02-21,18238.54,18457.49,18082.66,18438.31
2011-02-18,18564.08,18690.97,18159.82,18211.52
2011-02-17,18345.12,18532.61,18233.79,18506.82
2011-02-16,18273.06,18358.84,18216.12,18300.9
2011-02-15,18260.08,18361.66,18050.48,18273.8
2011-02-14,17940.16,18227.62,17857.12,18202.2
2011-02-11,17519.13,17752.56,17295.62,17728.61
2011-02-10,17603.29,17636.88,17362.59,17463.04
2011-02-09,17723.99,17864.32,17508.35,17592.77
2011-02-08,18141.51,18141.51,17742.18,17775.7
2011-02-07,18135.02,18180.94,17977.01,18037.19
2011-02-04,18450.07,18542.2,17926.98,18008.15
2011-02-03,18113.73,18466.21,18064.61,18449.31
2011-02-02,18216.91,18306.0,18042.61,18090.62
2011-02-01,18425.18,18452.06,17982.17,18022.22
2011-01-31,18226.21,18395.09,18038.48,18327.76
2011-01-28,18708.62,18723.12,18235.45,18395.97
2011-01-27,19086.69,19086.69,18656.05,18684.43
2011-01-25,19227.42,19340.99,18949.44,18969.45
2011-01-24,19095.69,19194.46,18998.38,19151.28
2011-01-21,19007.08,19065.34,18932.4,19007.53
2011-01-20,18892.43,19100.26,18794.73,19046.54
2011-01-19,19153.31,19167.06,18898.56,18978.32
2011-01-18,18983.2,19120.62,18933.47,19092.05
2011-01-17,18911.43,19018.94,18779.38,18882.25
2011-01-14,19198.04,19447.82,18811.96,18860.44
2011-01-13,19492.3,19522.38,19136.27,19182.82
2011-01-12,19353.34,19574.63,19048.56,19534.1
2011-01-11,19279.77,19431.56,19003.6,19196.34
2011-01-10,19714.42,19720.43,19158.43,19224.12
2011-01-07,20163.85,20210.62,19629.22,19691.81
2011-01-06,20395.5,20425.85,20107.17,20184.74
2011-01-05,20509.95,20509.95,20243.95,20301.1
2011-01-04,20617.38,20651.21,20449.01,20498.72
2011-01-03,20621.61,20664.8,20531.0,20561.05
2010-12-31,20412.76,20552.03,20412.76,20509.09
2010-12-30,20274.12,20410.91,20274.12,20389.07
2010-12-29,20060.88,20274.2,20054.64,20256.03
2010-12-28,20056.47,20090.41,19981.76,20025.42
2010-12-27,20062.6,20190.13,20010.33,20028.93
2010-12-24,19911.46,20086.42,19880.36,20073.66
2010-12-23,20038.83,20076.08,19939.3,19982.88
2010-12-22,20118.82,20151.25,19931.31,20015.8
2010-12-21,19925.76,20090.84,19925.76,20060.32
2010-12-20,19770.02,20006.16,19711.12,19888.88
2010-12-16,19698.58,19897.22,19554.35,19864.85
2010-12-15,19791.22,19817.61,19571.43,19647.77
2010-12-14,19746.75,19836.82,19621.41,19799.19
2010-12-13,19600.28,19710.57,19321.41,19691.78
2010-12-10,19201.89,19537.4,19074.57,19508.89
2010-12-09,19746.15,19771.09,19160.87,19242.36
2010-12-08,19874.3,19875.51,19611.35,19696.48
2010-12-07,19982.9,20008.36,19824.44,19934.64
2010-12-06,20038.25,20217.86,19944.71,19981.31
2010-12-03,20007.89,20067.81,19877.12,19966.93
2010-12-02,20038.66,20084.25,19917.77,19992.7
2010-12-01,19529.99,19887.26,19525.15,19850.0
2010-11-30,19373.23,19610.46,19218.02,19521.25
2010-11-29,19230.34,19450.09,19167.19,19405.1
2010-11-26,19391.96,19417.61,18954.82,19136.61
2010-11-25,19560.25,19628.27,19257.37,19318.16
2010-11-24,19735.28,19835.57,19375.92,19459.85
2010-11-23,19841.42,19841.42,19342.69,19691.84
2010-11-22,19713.84,19989.02,19641.42,19957.59
2010-11-19,19982.75,19982.75,19504.87,19585.44
2010-11-18,19997.83,20056.44,19615.51,19930.64
2010-11-16,20371.73,20380.1,19832.22,19865.14
2010-11-15,20167.62,20335.51,20046.6,20309.69
2010-11-12,20529.74,20593.91,20108.4,20156.89
2010-11-11,20930.45,20937.38,20544.22,20589.09
2010-11-10,20917.54,20970.91,20849.92,20875.71
2010-11-09,20851.91,20984.08,20762.81,20932.48
2010-11-08,21041.97,21075.71,20822.37,20852.38
2010-11-05,21045.66,21108.64,20961.98,21004.96
2010-11-04,20605.63,20917.03,20605.63,20893.57
2010-11-03,20472.86,20538.8,20426.18,20465.74
2010-11-02,20407.18,20418.35,20281.73,20345.69
2010-11-01,20272.49,20609.65,20267.1,20355.63
2010-10-29,19986.32,20080.33,19768.96,20032.34
2010-10-28,20116.49,20185.46,19869.32,19941.04
2010-10-27,20220.58,20220.58,19923.71,20005.37
2010-10-26,20325.44,20344.68,20189.3,20221.39
2010-10-25,20199.73,20452.3,20199.73,20303.12
2010-10-22,20334.14,20351.74,20088.67,20165.86
2010-10-21,19951.34,20293.1,19886.12,20260.58
2010-10-20,19924.02,20043.82,19822.66,19872.15
2010-10-19,20298.55,20332.02,19923.96,19983.13
2010-10-18,20160.55,20229.39,19870.51,20168.89
2010-10-15,20518.5,20578.45,20090.18,20125.05
2010-10-14,20700.42,20854.55,20442.82,20497.64
2010-10-13,20223.45,20703.97,20211.66,20687.88
2010-10-12,20357.79,20368.4,20107.25,20203.34
2010-10-11,20291.59,20461.27,20274.95,20339.89
2010-10-08,20297.58,20409.19,20145.74,20250.26
2010-10-07,20544.3,20581.29,20272.77,20315.32
2010-10-06,20448.69,20669.95,20447.05,20543.08
2010-10-05,20461.98,20560.54,20383.16,20407.71
2010-10-04,20501.21,20706.74,20437.36,20475.73
2010-10-01,20094.1,20475.47,20094.1,20445.04
2010-09-30,19931.49,20114.73,19864.46,20069.12
2010-09-29,20086.89,20234.05,19923.11,19956.34
2010-09-28,20114.37,20157.51,19981.96,20104.86
2010-09-27,20082.26,20267.98,20082.26,20117.38
2010-09-24,19836.43,20071.75,19833.52,20045.18
2010-09-23,19944.3,19998.32,19771.63,19861.01
2010-09-22,20039.43,20105.54,19804.02,19941.72
2010-09-21,19925.79,20088.96,19860.88,20001.55
2010-09-20,19445.42,19927.3,19445.42,19906.1
2010-09-17,19436.71,19639.18,19436.71,19594.75
2010-09-16,19476.93,19636.66,19383.46,19417.49
2010-09-15,19343.74,19554.5,19340.99,19502.11
2010-09-14,19218.13,19487.02,19218.13,19346.96
2010-09-13,18845.31,19243.44,18845.31,19208.33
2010-09-09,18669.12,18823.17,18669.12,18799.66
2010-09-08,18627.67,18721.21,18540.65,18666.71
2010-09-07,18571.73,18711.2,18571.43,18645.06
2010-09-06,18124.29,18600.3,18124.29,18560.05
2010-09-03,18238.08,18316.32,18206.5,18221.43
2010-09-02,18215.28,18355.84,18215.28,18238.31
2010-09-01,18027.12,18227.14,18027.12,18205.87
2010-08-31,18015.66,18015.66,17819.99,17971.12
2010-08-30,18063.48,18216.5,17960.23,18032.11
2010-08-27,18205.9,18248.36,17944.16,17998.41
2010-08-26,18194.78,18261.06,18159.13,18226.35
2010-08-25,18308.51,18312.43,18156.0,18179.64
2010-08-24,18407.01,18451.73,18260.71,18311.59
2010-08-23,18400.33,18454.38,18371.02,18409.35
2010-08-20,18444.24,18464.14,18360.9,18401.82
2010-08-19,18276.5,18475.27,18276.5,18454.94
2010-08-18,18067.67,18286.0,18067.67,18257.12
2010-08-17,18049.19,18140.15,18026.0,18048.85
2010-08-16,18169.8,18203.92,17997.46,18050.78
2010-08-13,18080.29,18260.39,18050.42,18167.03
2010-08-12,17972.65,18113.62,17914.78,18073.9
2010-08-11,18177.35,18263.88,18042.89,18070.19
2010-08-10,18272.28,18293.4,18170.77,18219.99
2010-08-09,18141.11,18309.25,18139.9,18287.5
2010-08-06,18165.49,18244.56,18118.19,18143.99
2010-08-05,18234.85,18295.43,18156.45,18172.83
2010-08-04,18115.56,18249.46,18093.03,18217.44
2010-08-03,18149.9,18167.45,18072.38,18114.83
2010-08-02,17911.31,18104.24,17911.31,18081.21
2010-07-30,17981.06,18000.35,17838.92,17868.29
2010-07-29,17961.58,18013.1,17902.84,17992.0
2010-07-28,18077.85,18137.14,17925.4,17957.37
2010-07-27,17998.74,18149.56,17998.74,18077.61
2010-07-26,18056.24,18194.09,17993.88,18020.05
2010-07-23,18132.29,18237.56,18093.93,18130.98
2010-07-22,17978.37,18127.9,17879.88,18113.15
2010-07-21,17873.92,18012.2,17873.92,17977.23
2010-07-20,17918.43,18040.17,17848.07,17878.14
2010-07-19,17914.12,18005.07,17856.4,17928.42
2010-07-16,17911.13,17980.27,17892.16,17955.82
2010-07-15,17874.71,17978.56,17858.73,17909.46
2010-07-14,18024.95,18167.22,17897.26,17938.16
2010-07-13,17908.3,17998.04,17855.85,17985.9
2010-07-12,17875.97,18010.07,17874.95,17937.2
2010-07-09,17667.85,17857.58,17667.85,17833.54
2010-07-08,17536.48,17728.37,17536.48,17651.73
2010-07-07,17623.66,17623.66,17447.15,17471.03
2010-07-06,17402.68,17643.14,17395.58,17614.48
2010-07-05,17473.83,17505.73,17423.74,17441.44
2010-07-02,17523.47,17598.94,17426.78,17460.95
2010-07-01,17679.34,17679.34,17455.41,17509.33
2010-06-30,17476.85,17725.04,17373.78,17700.9
2010-06-29,17777.95,17777.95,17465.73,17534.09
2010-06-28,17577.66,17794.8,17571.85,17774.26
2010-06-25,17705.11,17714.73,17546.73,17574.53
2010-06-24,17750.51,17845.65,17632.8,17730.24
2010-06-23,17694.87,17782.41,17629.19,17755.94
2010-06-22,17868.12,17868.12,17725.63,17749.69
2010-06-21,17654.81,17919.62,17654.81,17876.55
2010-06-18,17628.02,17721.99,17525.29,17570.82
2010-06-17,17490.52,17647.42,17394.9,17616.69
2010-06-16,17500.3,17530.38,17407.3,17462.87
2010-06-15,17355.49,17442.5,17249.46,17412.83
2010-06-14,17118.74,17351.18,17118.74,17338.17
2010-06-11,16994.07,17131.56,16994.07,17064.95
2010-06-10,16668.91,16942.6,16668.91,16922.08
2010-06-09,16621.12,16817.69,16591.26,16657.89
2010-06-08,16760.6,16895.73,16560.64,16617.1
2010-06-07,17069.77,17069.77,16686.73,16781.07
2010-06-04,17036.55,17150.42,16963.92,17117.69
2010-06-03,16786.28,17072.63,16786.28,17022.33
2010-06-02,16574.79,16774.15,16571.45,16741.84
2010-06-01,16942.82,16942.82,16318.39,16572.03
2010-05-31,16872.17,16971.15,16806.5,16944.63
2010-05-28,16692.66,16891.17,16692.66,16863.06
2010-05-27,16410.88,16694.55,16331.1,16666.4
2010-05-26,16069.78,16410.35,16069.78,16387.84
2010-05-25,16444.57,16444.57,15960.15,16022.48
2010-05-24,16494.61,16757.73,16413.03,16469.55
2010-05-21,16317.94,16486.74,16187.03,16445.61
2010-05-20,16419.1,16617.8,16419.1,16519.68
2010-05-19,16802.39,16802.39,16373.32,16408.49
2010-05-18,16840.59,17000.34,16744.13,16875.76
2010-05-17,16961.92,16961.92,16551.0,16835.56
2010-05-14,17267.25,17329.32,16923.65,16994.6
2010-05-13,17323.63,17389.15,17240.35,17265.87
2010-05-12,17141.53,17252.52,17028.08,17195.81
2010-05-11,17336.13,17379.15,17104.45,17141.53
2010-05-10,16799.49,17356.54,16799.49,17330.55
2010-05-07,16939.58,16939.58,16684.13,16769.11
2010-05-06,17080.47,17080.47,16823.0,16987.53
2010-05-05,17103.95,17121.66,16858.23,17087.96
2010-05-04,17371.75,17464.82,17101.96,17137.14
2010-05-03,17536.86,17536.86,17345.92,17386.08
2010-04-30,17503.47,17646.61,17503.47,17558.71
2010-04-29,17382.09,17532.86,17382.09,17503.47
2010-04-28,17643.59,17643.59,17344.58,17380.08
2010-04-27,17744.93,17769.25,17678.56,17690.62
2010-04-26,17692.26,17826.48,17692.26,17745.28
2010-04-23,17533.88,17725.88,17533.88,17694.2
2010-04-22,17476.48,17778.34,17408.02,17573.99
2010-04-21,17458.76,17565.55,17446.51,17472.56
2010-04-20,17394.68,17560.09,17394.68,17460.58
2010-04-19,17584.86,17584.86,17276.8,17400.68
2010-04-16,17645.91,17663.99,17529.55,17591.18
2010-04-15,17804.55,17975.57,17619.02,17639.26
2010-04-13,17831.38,17892.78,17736.09,17821.96
2010-04-12,17874.16,17995.25,17816.19,17853.0
2010-04-09,17715.16,17971.47,17715.16,17933.14
2010-04-08,17950.56,17960.91,17679.34,17714.4
2010-04-07,17915.6,18047.86,17878.31,17970.02
2010-04-06,17940.32,17991.41,17898.0,17941.37
2010-04-05,17693.66,17948.54,17693.66,17935.68
2010-04-01,17555.04,17706.56,17555.04,17692.62
2010-03-31,17602.39,17699.5,17488.55,17527.77
2010-03-30,17703.67,17783.35,17558.22,17590.17
2010-03-29,17639.18,17793.01,17639.18,17711.35
2010-03-26,17558.85,17682.94,17558.85,17644.76
2010-03-25,17458.51,17575.23,17383.21,17558.85
2010-03-23,17422.51,17530.79,17356.64,17451.02
2010-03-22,17481.96,17559.18,17337.38,17410.57
2010-03-19,17531.47,17600.87,17502.14,17578.23
2010-03-18,17492.81,17548.13,17417.61,17519.26
2010-03-17,17389.47,17576.78,17389.47,17490.08
2010-03-16,17169.84,17416.55,17150.06,17383.18
2010-03-15,17166.97,17195.49,17061.14,17164.99
2010-03-12,17176.02,17244.54,17126.93,17166.62
2010-03-11,17087.63,17215.07,17054.28,17167.96
2010-03-10,17072.94,17183.51,17027.92,17098.33
2010-03-09,17089.22,17130.83,17031.21,17052.54
2010-03-08,17034.92,17187.55,17034.92,17102.6
2010-03-05,16988.29,17097.71,16936.12,16994.49
2010-03-04,17013.68,17024.96,16888.05,16971.7
2010-03-03,16778.29,17012.61,16778.29,17000.01
2010-03-02,16438.45,16808.49,16438.45,16772.56
2010-02-26,16255.33,16669.25,16249.67,16429.55
2010-02-25,16264.1,16329.33,16167.13,16254.2
2010-02-24,16218.68,16328.44,16187.44,16255.97
2010-02-23,16213.14,16324.93,16178.91,16286.32
2010-02-22,16191.32,16423.23,16191.32,16237.05
2010-02-19,16256.53,16301.94,16074.58,16191.63
2010-02-18,16421.2,16452.51,16287.17,16327.84
2010-02-17,16228.91,16480.89,16228.91,16428.91
2010-02-16,16042.18,16310.39,16021.29,16226.68
2010-02-15,16186.9,16227.04,16011.82,16038.35
2010-02-11,15928.28,16202.87,15928.28,16152.59
2010-02-10,16042.18,16141.13,15892.01,15922.17
2010-02-09,15940.73,16094.13,15862.9,16042.18
2010-02-08,15931.34,16061.41,15651.99,15935.61
2010-02-06,15807.75,15951.07,15807.75,15915.65
2010-02-05,16222.56,16222.56,15725.43,15790.93
2010-02-04,16500.29,16508.22,16188.8,16224.95
2010-02-03,16210.25,16552.99,16210.25,16496.05
2010-02-02,16368.44,16525.98,16129.11,16163.44
2010-02-01,16339.32,16422.4,16160.8,16356.03
2010-01-29,16253.82,16390.31,15982.08,16357.96
2010-01-28,16317.16,16524.69,16182.14,16306.87
2010-01-27,16708.6,16708.6,16230.85,16289.82
2010-01-25,16847.7,16877.77,16705.56,16780.46
2010-01-22,16978.36,17000.33,16608.09,16859.68
2010-01-21,17474.49,17474.49,17025.26,17051.14
2010-01-20,17486.69,17590.59,17425.05,17474.49
2010-01-19,17650.82,17664.86,17463.78,17486.06
2010-01-18,17538.72,17712.6,17505.5,17641.08
2010-01-15,17604.31,17639.85,17529.11,17554.3
2010-01-14,17525.71,17628.04,17525.71,17584.87
2010-01-13,17368.03,17528.31,17276.46,17509.8
2010-01-12,17534.1,17612.0,17392.55,17422.51
2010-01-11,17724.59,17776.57,17500.79,17526.71
2010-01-08,17603.87,17658.12,17508.96,17540.29
2010-01-07,17701.97,17733.34,17566.54,17615.72
2010-01-06,17719.47,17790.33,17636.71,17701.13
2010-01-05,17555.77,17729.78,17555.77,17686.24
2010-01-04,17473.45,17582.84,17378.38,17558.73
2009-12-31,17365.37,17530.94,17365.37,17464.81
2009-12-30,17402.24,17440.05,17322.8,17343.82
2009-12-29,17388.67,17486.05,17372.63,17401.56
2009-12-24,17265.47,17413.69,17198.09,17360.61
2009-12-23,16723.96,17252.09,16723.96,17231.11
2009-12-22,16633.81,16738.12,16633.81,16692.0
2009-12-21,16724.84,16750.99,16577.78,16601.2
2009-12-18,16855.91,16899.19,16693.06,16719.83
2009-12-17,16912.25,16979.52,16826.0,16894.25
2009-12-16,16866.95,16996.12,16777.94,16912.77
2009-12-15,17150.59,17200.47,16835.78,16877.16
2009-12-14,17118.14,17275.19,17048.17,17097.55
2009-12-11,17199.74,17351.71,17056.12,17119.03
2009-12-10,17107.0,17231.05,17032.3,17189.31
2009-12-09,17204.32,17227.96,17057.37,17125.22
2009-12-08,16984.54,17237.79,16964.11,17227.68
2009-12-07,17106.74,17176.62,16943.01,16983.14
2009-12-04,17182.23,17291.83,17032.81,17101.54
2009-12-03,17199.64,17361.27,17128.21,17185.68
2009-12-02,17226.49,17329.68,17142.36,17169.91
2009-12-01,16947.46,17218.46,16947.46,17198.27
2009-11-30,16655.75,17026.91,16655.75,16926.22
2009-11-27,16718.8,16718.8,16210.44,16632.01
2009-11-26,17199.05,17202.51,16808.87,16854.93
2009-11-25,17149.08,17290.48,17124.15,17198.95
2009-11-24,17230.86,17230.86,17027.52,17131.08
2009-11-23,17067.14,17214.58,17045.02,17180.18
2009-11-20,16772.75,17041.79,16635.75,17021.85
2009-11-19,17004.98,17004.98,16712.33,16785.65
2009-11-18,17032.01,17098.79,16958.41,16998.78
2009-11-17,17036.23,17080.17,16882.98,17050.65
2009-11-16,16893.11,17083.2,16893.11,17032.51
2009-11-13,16693.15,16909.74,16666.7,16848.83
2009-11-12,16822.18,16896.62,16605.01,16696.03
2009-11-11,16444.44,16887.8,16405.19,16849.6
2009-11-10,16552.43,16677.53,16371.66,16440.56
2009-11-09,16190.79,16517.42,16147.21,16498.72
2009-11-06,16137.42,16283.86,16075.19,16158.28
2009-11-05,15926.13,16092.38,15564.89,16063.9
2009-11-04,15487.97,15929.09,15487.97,15912.13
2009-11-03,15838.63,15957.06,15330.56,15404.94
2009-10-30,16135.87,16360.88,15805.2,15896.28
2009-10-29,16191.39,16264.09,15993.83,16052.72
2009-10-28,16335.78,16411.14,16144.17,16283.49
2009-10-27,16699.09,16699.09,16311.5,16353.4
2009-10-26,16808.05,16938.88,16706.08,16740.5
2009-10-23,16795.66,17006.77,16765.2,16810.81
2009-10-22,17031.54,17031.54,16721.26,16789.74
2009-10-21,17229.72,17248.69,16997.86,17009.17
2009-10-20,17414.8,17457.26,17185.04,17223.01
2009-10-17,17452.56,17493.17,17260.66,17326.01
2009-10-16,17196.8,17347.85,17126.55,17322.82
2009-10-15,17274.07,17350.39,17092.83,17195.2
2009-10-14,17117.9,17274.59,17117.9,17231.11
2009-10-12,16687.32,17068.78,16687.32,17026.67
2009-10-09,16915.96,16963.08,16606.95,16642.66
2009-10-08,16908.02,16998.52,16775.36,16843.54
2009-10-07,17069.42,17120.56,16764.07,16806.66
2009-10-06,16879.38,16988.56,16622.05,16958.54
2009-10-05,17062.01,17062.01,16835.8,16866.41
2009-10-01,17186.2,17195.61,17059.36,17134.55
2009-09-30,16868.46,17142.52,16868.46,17126.84
2009-09-29,16829.11,16907.84,16802.8,16852.91
2009-09-25,16679.99,16812.02,16613.22,16693.0
2009-09-24,16634.08,16834.1,16494.92,16781.43
2009-09-23,16905.5,16905.58,16683.78,16719.5
2009-09-22,16805.22,16943.49,16763.78,16886.43
